model,n_obs,brier_score,log_loss,auc,mean_matches_top5_per_draw,match_0,match_1,match_2,match_3,match_4,match_5,wilcoxon_p_vs_random_brier,beats_random_brier,wilcoxon_p_fdr,sig_better_than_random_fdr
A_random,34224,0.1352757544224766,0.4418033480100162,0.5,0.8034420289855072,0.3894927536231884,0.44655797101449274,0.13768115942028986,0.02355072463768116,0.002717391304347826,0.0,,False,,
B_full_freq,34224,0.13534045632639338,0.44204261926663013,0.5077950208676668,0.8351449275362319,0.3686594202898551,0.45108695652173914,0.15760869565217392,0.021739130434782608,0.0009057971014492754,0.0,0.22198568631008941,False,0.26955404766225144,False
C_rolling_best,34224,0.1357867768232819,0.44374066652695526,0.5095051862437998,0.8206521739130435,0.3786231884057971,0.4411231884057971,0.1621376811594203,0.017210144927536232,0.0009057971014492754,0.0,7.768224371264369e-05,False,0.00016507476788936784,False
D_ewma_best,34224,0.13561484363174953,0.4430714542307405,0.5087700497229088,0.8360507246376812,0.3605072463768116,0.46105072463768115,0.16032608695652173,0.018115942028985508,0.0,0.0,0.0015607034403774607,False,0.002947995387379648,False
E_gap,34224,0.1660079049243401,0.8518569986711061,0.4961457329837381,0.7744565217391305,0.4057971014492754,0.42844202898550726,0.151268115942029,0.014492753623188406,0.0,0.0,1.3143040774990676e-155,False,2.234316931748415e-154,False
F_hot,34224,0.14185512143528226,0.5168271933429557,0.5041582410874412,0.8115942028985508,0.3804347826086957,0.4438405797101449,0.16032608695652173,0.014492753623188406,0.0009057971014492754,0.0,1.650362745312536e-63,False,9.352055556771037e-63,False
G_cold,34224,0.15978439149008988,0.6106791827204856,0.4966857053200685,0.7753623188405797,0.39311594202898553,0.45108695652173914,0.1431159420289855,0.012681159420289856,0.0,0.0,2.2304847058559363e-128,False,1.895911999977546e-127,False
H_pair,34224,0.1357169055348032,0.44343312655095457,0.4995018589289177,0.7898550724637681,0.38315217391304346,0.4628623188405797,0.1358695652173913,0.017210144927536232,0.0009057971014492754,0.0,8.483002267039615e-08,False,2.4035173089945574e-07,False
J_bayesian,34224,0.13529719136792098,0.44188196345529557,0.5085557086675795,0.8351449275362319,0.3686594202898551,0.45108695652173914,0.15760869565217392,0.021739130434782608,0.0009057971014492754,0.0,0.670043338891883,False,0.670043338891883,False
K_transition,34224,0.13528955064010995,0.44185289982805664,0.49778561893105844,0.8251811594202898,0.3713768115942029,0.45018115942028986,0.16032608695652173,0.018115942028985508,0.0,0.0,0.3948984037702473,False,0.41957955400588776,False
ML_LogReg_L2,34224,0.13532700553292082,0.4419904354735,0.4967694246522224,0.7481884057971014,0.41757246376811596,0.4320652173913043,0.1358695652173913,0.01358695652173913,0.0009057971014492754,0.0,0.11624684364681451,False,0.15201510323044976,False
ML_LogReg_L1,34224,0.1353071734199292,0.4419172581598165,0.4995484425995266,0.7355072463768116,0.41757246376811596,0.4429347826086957,0.12590579710144928,0.01358695652173913,0.0,0.0,0.006960056002767934,False,0.011832095204705488,False
ML_LogReg_ElasticNet,34224,0.13531249539975865,0.4419371069103354,0.4996025966688479,0.7690217391304348,0.4076086956521739,0.43478260869565216,0.13858695652173914,0.019021739130434784,0.0,0.0,0.030555630087026844,False,0.0472223374072233,False
ML_RandomForest,34224,0.13537808450024033,0.442199976183233,0.4981985101808767,0.7862318840579711,0.4067028985507246,0.41757246376811596,0.1585144927536232,0.017210144927536232,0.0,0.0,0.07376602630891124,False,0.10450187060429092,False
ML_ExtraTrees,34224,0.13531633358444817,0.4419580918676713,0.49646504665814395,0.779891304347826,0.4076086956521739,0.4257246376811594,0.14583333333333334,0.020833333333333332,0.0,0.0,0.3128731275320794,False,0.35458954453635666,False
ML_GradientBoosting,34224,0.13588363589968736,0.4433516219401753,0.49677866438854146,0.8034420289855072,0.391304347826087,0.43568840579710144,0.15217391304347827,0.019927536231884056,0.0009057971014492754,0.0,5.517995187871797e-07,False,1.340084545626008e-06,False
ML_XGBoost,34224,0.1358019406152412,0.4437406669879434,0.4996255603167967,0.7762681159420289,0.40217391304347827,0.4384057971014493,0.1403985507246377,0.019021739130434784,0.0,0.0,1.1438507422183705e-09,False,4.8613656544280744e-09,False
ML_LightGBM,34224,0.13577242413164953,0.4436285608116342,0.5014094858011002,0.8079710144927537,0.384963768115942,0.4411231884057971,0.15670289855072464,0.015398550724637682,0.0018115942028985507,0.0,4.485772532053304e-09,False,1.5251626608981233e-08,False
