number,acf_lag1,ljungbox_lag10_p,runs_test_z,runs_test_p,ljungbox_p_fdr,ljungbox_sig_fdr
1,0.03151609603610579,0.05984342235141255,-1.2604619018290888,0.20750278318700532,0.6976687107117528,False
2,-0.04820823814543194,0.12285349742342902,1.7368988442135271,0.08240502748029854,0.6976687107117528,False
3,0.01172788404281565,0.966592932070565,-0.5699291590469774,0.5687257468417712,0.966592932070565,False
4,0.03205751672034462,0.2404485740330157,-1.27151011719976,0.2035472305028998,0.7453905795023487,False
5,0.008292163867142568,0.20030106606477,-0.3160173745945808,0.7519893204019896,0.7453905795023487,False
6,0.015530155724261616,0.268499042387533,-0.5868425426083127,0.5573094617317365,0.7566791194557748,False
7,-0.028752847202721234,0.9320314953589379,1.0734607599397423,0.28306443563679906,0.966592932070565,False
8,0.039999670241795376,0.6577646078747499,-1.5047372954844416,0.13239163049680736,0.966592932070565,False
9,-0.005549030558282133,0.65635948051409,0.12900870474790116,0.8973507609982387,0.966592932070565,False
10,-0.0018772637592392879,0.6622677648888533,0.06510533709570568,0.9480901310627372,0.966592932070565,False
11,0.02119083989657498,0.8300916667392698,-0.8007748934274046,0.42326197618104366,0.966592932070565,False
12,0.005977442078260552,0.1695842147616616,-0.22875915961450466,0.8190561109894192,0.7453905795023487,False
13,-0.03032693249197604,0.5481092768269922,1.132460591102288,0.25744084362626607,0.966592932070565,False
14,0.051668464480338384,0.07599647748915184,-1.9431201968320821,0.052001637284825986,0.6976687107117528,False
15,-0.02162200840130989,0.9348909343717128,0.806627768347385,0.41988097048924655,0.966592932070565,False
16,0.053035471919592604,0.8069906936352633,-1.9941280863310256,0.046138058575606156,0.966592932070565,False
17,0.04490670789539187,0.7084227598091241,-1.754965723795562,0.07926517085294593,0.966592932070565,False
18,-0.018366648932127673,0.6290494883497824,0.6837311471061697,0.4941449514782106,0.966592932070565,False
19,-0.038490007401924514,0.23843149214932055,1.4376237855736198,0.1505408283515488,0.7453905795023487,False
20,-0.03683772178590089,0.42387325039322427,1.3099268499679217,0.19022058295813649,0.938576483013568,False
21,0.07619179817911383,0.09198281092225095,-2.8626006600650147,0.004201797699949994,0.6976687107117528,False
22,-0.035461450272284284,0.5623500442674357,1.3242318531557546,0.18542605503423149,0.966592932070565,False
23,-0.012073739434567049,0.09983164168915949,0.44738199972328074,0.6545992701905448,0.6976687107117528,False
24,0.017194505028474708,0.8087368592018124,-0.6498928669342993,0.515761426059202,0.966592932070565,False
25,0.02338339721907978,0.9580971419462125,-0.9492853915110957,0.34247548138299644,0.966592932070565,False
26,-0.019421182266009817,0.7743118738528356,0.7238949850395808,0.46913020903630276,0.966592932070565,False
27,-0.0019925582591181234,0.34225687011097494,0.06917786794827799,0.9448480397148702,0.8379265594084697,False
28,-0.02369841149198172,0.9355982066878585,0.8836808514463198,0.37686851994077974,0.966592932070565,False
29,0.052491982644784003,0.35138855717129375,-1.973614013872874,0.04842564903519175,0.8379265594084697,False
30,0.006488231318926369,0.1350326536861457,-0.24878264174194809,0.8035289189231174,0.6976687107117528,False
31,-0.014937760176066529,0.6921386021909308,0.49528326701175174,0.6204001807765105,0.966592932070565,False
