number,main_count,main_rate,main_expected,main_std_resid,main_z,main_p_raw,main_ci_lo,main_ci_hi,bonus_count,bonus_rate,bonus_expected,bonus_z,bonus_p_raw,main_plus_bonus_count,main_plus_bonus_rate,main_plus_bonus_expected,main_plus_bonus_z,main_plus_bonus_p_raw,main_p_bonf,main_sig_bonf,main_p_holm,main_sig_holm,main_p_fdr,main_sig_fdr,bonus_p_bonf,bonus_sig_bonf,bonus_p_holm,bonus_sig_holm,bonus_p_fdr,bonus_sig_fdr,main_plus_bonus_p_bonf,main_plus_bonus_sig_bonf,main_plus_bonus_p_holm,main_plus_bonus_sig_holm,main_plus_bonus_p_fdr,main_plus_bonus_sig_fdr
1,204,0.1452991452991453,226.4516129032258,-1.6291235043743393,-1.6291235043743393,0.11028398580207992,0.12783312295415913,0.16470092348970217,45,0.03205128205128205,45.29032258064516,-0.043852900965351285,1.0,249,0.17735042735042736,271.741935483871,-1.5362430585824423,0.1285249152600937,1.0,False,1.0,False,0.47147270717196893,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.5722696572708015,False
2,239,0.17022792022792022,226.4516129032258,0.9105302344850847,0.9105302344850847,0.3643452203645522,0.15147473648164567,0.19078081272218517,43,0.030626780626780627,45.29032258064516,-0.3459506631711058,0.8205284554693062,282,0.20085470085470086,271.741935483871,0.6929436774882498,0.478329280616308,1.0,False,1.0,False,0.7059188644563199,False,1.0,False,1.0,False,0.9783223892134035,False,1.0,False,1.0,False,0.886222501310519,False
3,237,0.16880341880341881,226.4516129032258,0.7654071636931177,0.7654071636931177,0.44607092597323605,0.15011941679293136,0.1892949036817584,56,0.039886039886039885,45.29032258064516,1.6176847911662984,0.11203902307583274,293,0.20868945868945868,271.741935483871,1.4360059228451472,0.15593829861136227,1.0,False,1.0,False,0.7932135744007243,False,1.0,False,1.0,False,0.4961728164786879,False,1.0,False,1.0,False,0.5722696572708015,False
4,228,0.1623931623931624,226.4516129032258,0.11235334512926577,0.11235334512926577,0.9133181793593509,0.14402675551533248,0.18260203567822222,44,0.03133903133903134,45.29032258064516,-0.19490178206822853,0.9397226586110313,272,0.19373219373219372,271.741935483871,0.017432545345615863,0.9730655269557105,1.0,False,1.0,False,0.9421695426457718,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9730655269557105,False
5,223,0.15883190883190884,226.4516129032258,-0.25045433185065197,-0.25045433185065197,0.8277151773796405,0.14064650643170581,0.1788792129389961,58,0.04131054131054131,45.29032258064516,1.919782553372053,0.058714649786195186,281,0.20014245014245013,271.741935483871,0.6253925642739864,0.5212125103135774,1.0,False,1.0,False,0.9163989463846021,False,1.0,False,1.0,False,0.4550385358430127,False,1.0,False,1.0,False,0.886222501310519,False
6,196,0.1396011396011396,226.4516129032258,-2.2096157875422078,-2.2096157875422078,0.02684239377889973,0.12245391556490234,0.15871521596239446,51,0.03632478632478633,45.29032258064516,0.8624403856519122,0.36498621048029656,247,0.17592592592592593,271.741935483871,-1.671345285010969,0.09788157903231623,0.8321142071458916,False,0.8052718133669918,False,0.333487479578642,False,1.0,False,1.0,False,0.8081837517777996,False,1.0,False,1.0,False,0.5722696572708015,False
7,216,0.15384615384615385,226.4516129032258,-0.7583850796225368,-0.7583850796225368,0.4681156199976596,0.13591984133258,0.17366157748612798,43,0.030626780626780627,45.29032258064516,-0.3459506631711058,0.8205284554693062,259,0.18447293447293447,271.741935483871,-0.8607319264398082,0.39864510946392645,1.0,False,1.0,False,0.7932135744007243,False,1.0,False,1.0,False,0.9783223892134035,False,1.0,False,1.0,False,0.8827141709558372,False
8,202,0.14387464387464388,226.4516129032258,-1.7742465751663064,-1.7742465751663064,0.0814721543520226,0.1264874003190851,0.16320541739563507,45,0.03205128205128205,45.29032258064516,-0.043852900965351285,1.0,247,0.17592592592592593,271.741935483871,-1.671345285010969,0.09788157903231623,1.0,False,1.0,False,0.47147270717196893,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.5722696572708015,False
9,209,0.14886039886039887,226.4516129032258,-1.2663158273944217,-1.2663158273944217,0.21729791315852098,0.13120004488272177,0.1684370733839923,41,0.0292022792022792,45.29032258064516,-0.6480484253768602,0.5964863953045103,250,0.17806267806267806,271.741935483871,-1.4686919453681788,0.14641236804506294,1.0,False,1.0,False,0.6123850279921955,False,1.0,False,1.0,False,0.9732146449705168,False,1.0,False,1.0,False,0.5722696572708015,False
10,232,0.16524216524216523,226.4516129032258,0.40259948671319995,0.40259948671319995,0.6897951663149913,0.1467333216728507,0.18557792697898623,40,0.02849002849002849,45.29032258064516,-0.7990973064797375,0.4959785290581632,272,0.19373219373219372,271.741935483871,0.017432545345615863,0.9730655269557105,1.0,False,1.0,False,0.8888391294219843,False,1.0,False,1.0,False,0.9609584000501912,False,1.0,False,1.0,False,0.9730655269557105,False
11,266,0.18945868945868946,226.4516129032258,2.8696916901766407,2.8696916901766407,0.005173065973573579,0.1698182461942858,0.21079389085295017,55,0.03917378917378917,45.29032258064516,1.4666359100634212,0.15044792490011955,321,0.22863247863247863,271.741935483871,3.327437092844522,0.0011721324840218116,0.16036504518078093,False,0.16036504518078093,False,0.16036504518078093,False,1.0,False,1.0,False,0.5182095191004117,False,0.036336107004676155,True,0.036336107004676155,True,0.03633610700467616,True
12,205,0.146011396011396,226.4516129032258,-1.5565619689783559,-1.5565619689783559,0.12743990003141126,0.1285062102470865,0.16544845056134533,56,0.039886039886039885,45.29032258064516,1.6176847911662984,0.11203902307583274,261,0.1858974358974359,271.741935483871,-0.7256297000112815,0.4992993276954071,1.0,False,1.0,False,0.47147270717196893,False,1.0,False,1.0,False,0.4961728164786879,False,1.0,False,1.0,False,0.886222501310519,False
13,217,0.15455840455840456,226.4516129032258,-0.6858235442265532,-0.6858235442265532,0.5137726517886191,0.1365946649957091,0.1744073681875694,37,0.026353276353276354,45.29032258064516,-1.2522439497883693,0.2269992516457026,254,0.18091168091168092,271.741935483871,-1.1984874925111253,0.23724524187172713,1.0,False,1.0,False,0.7932135744007243,False,1.0,False,1.0,False,0.586414733418065,False,1.0,False,1.0,False,0.6849564542607385,False
14,247,0.17592592592592593,226.4516129032258,1.4910225176529532,1.4910225176529532,0.13687917304992647,0.15690092962280044,0.19671953449759488,39,0.027777777777777776,45.29032258064516,-0.9501461875826148,0.40526638864792464,286,0.2037037037037037,271.741935483871,0.9631481303453033,0.34421827563892543,1.0,False,1.0,False,0.47147270717196893,False,1.0,False,1.0,False,0.8375505365390442,False,1.0,False,1.0,False,0.8208281957543606,False
15,197,0.14031339031339032,226.4516129032258,-2.1370542521462244,-2.1370542521462244,0.03227298189470729,0.12312577375365255,0.1594639721382148,58,0.04131054131054131,45.29032258064516,1.919782553372053,0.058714649786195186,255,0.18162393162393162,271.741935483871,-1.1309363792968619,0.2651444339073826,1.0,False,0.9359164749465113,False,0.333487479578642,False,1.0,False,1.0,False,0.4550385358430127,False,1.0,False,1.0,False,0.6849564542607385,False
16,233,0.16595441595441596,226.4516129032258,0.47516102210918354,0.47516102210918354,0.6371387240967041,0.1474102862364607,0.1863215767799468,56,0.039886039886039885,45.29032258064516,1.6176847911662984,0.11203902307583274,289,0.20584045584045585,271.741935483871,1.1658014699880936,0.250730022748038,1.0,False,1.0,False,0.8888391294219843,False,1.0,False,1.0,False,0.4961728164786879,False,1.0,False,1.0,False,0.6849564542607385,False
