draw_no,strategy,max_match,n_3plus,n_4plus,n_5,cost,payout,profit
745,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
746,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
747,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
748,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
749,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
750,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
751,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
752,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
753,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
754,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,800,-1200
755,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
756,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
757,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
758,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
759,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
760,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
761,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
762,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
763,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,800,-1200
764,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
765,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
766,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
767,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
768,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
769,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
770,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
771,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
772,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
773,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
774,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
775,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
776,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
777,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
778,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
779,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
780,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
781,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
782,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
783,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
784,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
785,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
786,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
787,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
788,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
789,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
790,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
791,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
792,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
793,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,2000,0
794,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
795,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,800,-1200
796,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
797,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
798,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
799,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
800,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
801,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
802,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
803,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
804,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
805,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
806,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
807,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
808,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
809,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
810,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
811,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
812,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
813,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
814,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
815,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
816,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
817,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
818,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
819,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
820,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
821,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
822,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
823,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
824,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
825,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
826,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
827,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
828,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
829,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
830,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,2000,0
831,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
832,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
833,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
834,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
835,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
