,0
pair_lift_vs_prev_draw,0.13228596904847853
negctrl_noise2,0.11822514627906405
ewma_hl100,0.11155200252453376
ewma_hl50,0.10915467416093172
negctrl_noise1,0.10860075261270112
ewma_hl20,0.1060561807112921
full_freq,0.10371366235777765
freq_last_100,0.047686958865897286
freq_last_200,0.04724750850315766
gap_since_seen,0.04139543038534194
freq_last_50,0.03743692119034623
freq_last_20,0.021158913350624767
prev_was_bonus,0.00765219319840035
prev_appeared,0.005210597149234535
negctrl_fake_lucky_number,0.0026230896622183985
