number,k_draws_after,reappear_rate,n_obs
6,13,0.13333333333333333,195
6,14,0.16923076923076924,195
6,15,0.15463917525773196,194
6,16,0.18041237113402062,194
6,17,0.16494845360824742,194
6,18,0.17525773195876287,194
6,19,0.11855670103092783,194
6,20,0.15979381443298968,194
6,21,0.12371134020618557,194
6,22,0.16494845360824742,194
6,23,0.15463917525773196,194
6,24,0.13402061855670103,194
6,25,0.13917525773195877,194
6,26,0.12886597938144329,194
6,27,0.17010309278350516,194
6,28,0.14948453608247422,194
6,29,0.15463917525773196,194
6,30,0.12886597938144329,194
7,1,0.12962962962962962,216
7,2,0.14814814814814814,216
7,3,0.1712962962962963,216
7,4,0.12962962962962962,216
7,5,0.1574074074074074,216
7,6,0.17592592592592593,216
7,7,0.1574074074074074,216
7,8,0.16203703703703703,216
7,9,0.14351851851851852,216
7,10,0.1574074074074074,216
7,11,0.14351851851851852,216
7,12,0.1574074074074074,216
7,13,0.13425925925925927,216
7,14,0.14814814814814814,216
7,15,0.21296296296296297,216
7,16,0.12037037037037036,216
7,17,0.125,216
7,18,0.125,216
7,19,0.14814814814814814,216
7,20,0.125,216
7,21,0.16279069767441862,215
7,22,0.13488372093023257,215
7,23,0.15348837209302327,215
7,24,0.16279069767441862,215
7,25,0.17209302325581396,215
7,26,0.10697674418604651,215
7,27,0.12093023255813953,215
7,28,0.15348837209302327,215
7,29,0.14883720930232558,215
7,30,0.11162790697674418,215
8,1,0.1782178217821782,202
8,2,0.12437810945273632,201
8,3,0.12437810945273632,201
8,4,0.13930348258706468,201
8,5,0.14427860696517414,201
8,6,0.14427860696517414,201
8,7,0.17412935323383086,201
8,8,0.13930348258706468,201
8,9,0.115,200
8,10,0.125,200
8,11,0.15577889447236182,199
8,12,0.12060301507537688,199
8,13,0.17587939698492464,199
8,14,0.11055276381909548,199
8,15,0.12562814070351758,199
8,16,0.1457286432160804,199
8,17,0.19095477386934673,199
8,18,0.18090452261306533,199
8,19,0.1457286432160804,199
8,20,0.135678391959799,199
8,21,0.1457286432160804,199
8,22,0.12060301507537688,199
8,23,0.1457286432160804,199
8,24,0.1658291457286432,199
8,25,0.10050251256281408,199
8,26,0.1507537688442211,199
8,27,0.10552763819095477,199
8,28,0.1457286432160804,199
8,29,0.135678391959799,199
8,30,0.1407035175879397,199
9,1,0.14423076923076922,208
9,2,0.1875,208
9,3,0.13942307692307693,208
9,4,0.13942307692307693,208
9,5,0.19230769230769232,208
9,6,0.14903846153846154,208
9,7,0.14423076923076922,208
9,8,0.14423076923076922,208
9,9,0.13043478260869565,207
9,10,0.14492753623188406,207
9,11,0.1111111111111111,207
9,12,0.10679611650485436,206
9,13,0.13106796116504854,206
9,14,0.15048543689320387,206
9,15,0.1262135922330097,206
9,16,0.11650485436893204,206
9,17,0.11650485436893204,206
9,18,0.1262135922330097,206
9,19,0.13592233009708737,206
9,20,0.16990291262135923,206
9,21,0.1407766990291262,206
9,22,0.12682926829268293,205
9,23,0.17560975609756097,205
9,24,0.13658536585365855,205
9,25,0.17073170731707318,205
9,26,0.14146341463414633,205
9,27,0.17560975609756097,205
9,28,0.18536585365853658,205
9,29,0.17647058823529413,204
9,30,0.14215686274509803,204
10,1,0.16379310344827586,232
10,2,0.15517241379310345,232
10,3,0.1853448275862069,232
10,4,0.16379310344827586,232
10,5,0.17672413793103448,232
10,6,0.2025862068965517,232
10,7,0.16810344827586207,232
10,8,0.15517241379310345,232
10,9,0.1939655172413793,232
10,10,0.1939655172413793,232
10,11,0.15584415584415584,231
10,12,0.17316017316017315,231
10,13,0.16017316017316016,231
10,14,0.12554112554112554,231
10,15,0.1341991341991342,231
10,16,0.19130434782608696,230
10,17,0.17391304347826086,230
10,18,0.16593886462882096,229
10,19,0.21397379912663755,229
