num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period
1,2,16,15.096774193548388,1.0598290598290598,1.225511857416409,0.7937975819531852,first_half
1,3,18,15.096774193548388,1.192307692307692,1.4732394366197183,0.4331554121923039,first_half
1,4,10,15.096774193548388,0.6623931623931624,0.6572049610024293,0.23905729126443812,first_half
1,5,14,15.096774193548388,0.9273504273504273,1.0178245614035089,0.8964850320202825,first_half
1,6,15,15.096774193548388,0.9935897435897435,1.1479142185663924,1.0,first_half
1,7,8,15.096774193548388,0.5299145299145299,0.512782142411772,0.0673711763094548,first_half
1,8,7,15.096774193548388,0.46367521367521364,0.4379268292682927,0.035775208689358656,first_half
1,9,8,15.096774193548388,0.5299145299145299,0.5522368246382583,0.0673711763094548,first_half
1,10,20,15.096774193548388,1.3247863247863247,1.3553408480944713,0.19254627585628603,first_half
1,11,14,15.096774193548388,0.9273504273504273,0.7749019607843137,0.8964850320202825,first_half
1,12,14,15.096774193548388,0.9273504273504273,1.0707692307692307,0.8964850320202825,first_half
1,13,10,15.096774193548388,0.6623931623931624,0.6341523951352693,0.23905729126443812,first_half
1,14,10,15.096774193548388,0.6623931623931624,0.5662296564195298,0.23905729126443812,first_half
1,15,15,15.096774193548388,0.9935897435897435,1.1479142185663924,1.0,first_half
1,16,12,15.096774193548388,0.7948717948717949,0.745405537858368,0.5145402005166057,first_half
1,17,12,15.096774193548388,0.7948717948717949,0.7716555289370823,0.5145402005166057,first_half
1,18,11,15.096774193548388,0.7286324786324786,0.7501982553528945,0.3606953041477349,first_half
1,19,3,15.096774193548388,0.19871794871794873,0.1433139534883721,0.00035849853215439993,first_half
1,20,10,15.096774193548388,0.6623931623931624,0.5662296564195298,0.23905729126443812,first_half
1,21,16,15.096774193548388,1.0598290598290598,1.165937014545968,0.7937975819531852,first_half
1,22,7,15.096774193548388,0.46367521367521364,0.3657485281749369,0.035775208689358656,first_half
1,23,16,15.096774193548388,1.0598290598290598,1.0852506982311478,0.7937975819531852,first_half
1,24,9,15.096774193548388,0.596153846153846,0.4924342105263158,0.11880341025384131,first_half
1,25,11,15.096774193548388,0.7286324786324786,0.6902120315581854,0.3606953041477349,first_half
1,26,13,15.096774193548388,0.861111111111111,0.8988990332975295,0.6961124404668241,first_half
1,27,12,15.096774193548388,0.7948717948717949,0.79002185932879,0.5145402005166057,first_half
1,28,13,15.096774193548388,0.861111111111111,0.9211896929824561,0.6961124404668241,first_half
1,29,10,15.096774193548388,0.6623931623931624,0.681698312236287,0.23905729126443812,first_half
1,30,13,15.096774193548388,0.861111111111111,0.7568700512342804,0.6961124404668241,first_half
1,31,9,15.096774193548388,0.596153846153846,0.5506009615384615,0.11880341025384131,first_half
2,3,16,15.096774193548388,1.0598290598290598,0.9368863955119214,0.7937975819531852,first_half
2,4,11,15.096774193548388,0.7286324786324786,0.56695127030404,0.3606953041477349,first_half
2,5,13,15.096774193548388,0.861111111111111,0.7010633680555556,0.6961124404668241,first_half
2,6,10,15.096774193548388,0.6623931623931624,0.5165052587733,0.23905729126443812,first_half
2,7,12,15.096774193548388,0.7948717948717949,0.6485078676071623,0.5145402005166057,first_half
2,8,10,15.096774193548388,0.6623931623931624,0.5165052587733,0.23905729126443812,first_half
2,9,13,15.096774193548388,0.861111111111111,0.7771070075757576,0.6961124404668241,first_half
2,10,16,15.096774193548388,1.0598290598290598,0.738863287250384,0.7937975819531852,first_half
2,11,21,15.096774193548388,1.391025641025641,1.0248579545454546,0.1495164693933021,first_half
2,12,12,15.096774193548388,0.7948717948717949,0.6651147322913202,0.5145402005166057,first_half
2,13,22,15.096774193548388,1.4572649572649572,1.4132822477650064,0.08826587488485256,first_half
2,14,15,15.096774193548388,0.9935897435897435,0.7247961821435673,1.0,first_half
2,15,12,15.096774193548388,0.7948717948717949,0.6485078676071623,0.5145402005166057,first_half
2,16,17,15.096774193548388,1.1260683760683758,0.9001291433491175,0.6011749866312058,first_half
2,17,12,15.096774193548388,0.7948717948717949,0.5885296767090381,0.5145402005166057,first_half
2,18,10,15.096774193548388,0.6623931623931624,0.5102040816326531,0.23905729126443812,first_half
2,19,18,15.096774193548388,1.192307692307692,0.9193092621664051,0.4331554121923039,first_half
2,20,15,15.096774193548388,0.9935897435897435,0.7247961821435673,1.0,first_half
2,21,12,15.096774193548388,0.7948717948717949,0.6026334592222109,0.5145402005166057,first_half
2,22,18,15.096774193548388,1.192307692307692,0.9193092621664051,0.4331554121923039,first_half
2,23,14,15.096774193548388,0.9273504273504273,0.6849122807017544,0.8964850320202825,first_half
2,24,19,15.096774193548388,1.2585470085470085,0.9926282051282052,0.29638836576123884,first_half
2,25,9,15.096774193548388,0.596153846153846,0.4134905660377359,0.11880341025384131,first_half
2,26,14,15.096774193548388,0.9273504273504273,0.7535539880629408,0.8964850320202825,first_half
2,27,11,15.096774193548388,0.7286324786324786,0.5403161264505802,0.3606953041477349,first_half
2,28,13,15.096774193548388,0.861111111111111,0.7010633680555556,0.6961124404668241,first_half
2,29,18,15.096774193548388,1.192307692307692,1.1351148851148851,0.4331554121923039,first_half
2,30,21,15.096774193548388,1.391025641025641,1.1090909090909091,0.1495164693933021,first_half
2,31,16,15.096774193548388,1.0598290598290598,0.8797250859106529,0.7937975819531852,first_half
3,4,10,15.096774193548388,0.6623931623931624,0.5102040816326531,0.23905729126443812,first_half
3,5,14,15.096774193548388,0.9273504273504273,0.7823068309070549,0.8964850320202825,first_half
3,6,12,15.096774193548388,0.7948717948717949,0.656578947368421,0.5145402005166057,first_half
3,7,19,15.096774193548388,1.2585470085470085,1.2275280898876404,0.29638836576123884,first_half
3,8,13,15.096774193548388,0.861111111111111,0.7278835386338186,0.6961124404668241,first_half
3,9,13,15.096774193548388,0.861111111111111,0.7868421052631579,0.6961124404668241,first_half
3,10,16,15.096774193548388,1.0598290598290598,0.7484472049689441,0.7937975819531852,first_half
3,11,24,15.096774193548388,1.5897435897435899,1.27129750982962,0.026337968735321536,first_half
3,12,11,15.096774193548388,0.7286324786324786,0.6032024566790963,0.3606953041477349,first_half
3,13,13,15.096774193548388,0.861111111111111,0.6842105263157895,0.6961124404668241,first_half
3,14,18,15.096774193548388,1.192307692307692,0.9423076923076923,0.4331554121923039,first_half
3,15,14,15.096774193548388,0.9273504273504273,0.8023335621139327,0.8964850320202825,first_half
3,16,14,15.096774193548388,0.9273504273504273,0.7017184942716858,0.8964850320202825,first_half
3,17,11,15.096774193548388,0.7286324786324786,0.5342981760507534,0.3606953041477349,first_half
3,18,11,15.096774193548388,0.7286324786324786,0.5810394303326603,0.3606953041477349,first_half
