overlap_count,observed_n,observed_rate,theoretical_rate,theoretical_n
0,511,0.36421952957947257,0.3871438576666609,543.1628323063252
1,642,0.45759087669280113,0.4399362018939328,617.2304912571877
2,226,0.16108339272986458,0.15302128761528097,214.6888665242392
3,23,0.01639344262295082,0.01912766095191012,26.8361083155299
4,1,0.0007127583749109052,0.0007651064380764048,1.073444332621196
5,0,0.0,5.8854341390492675e-06,0.008257264097086122
