num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period,p_bonf,sig_bonf,p_holm,sig_holm,p_fdr,sig_fdr
1,2,31,30.193548387096776,1.0267094017094016,0.8546020453534905,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
1,3,35,30.193548387096776,1.159188034188034,1.0231999531314078,0.35720678863729965,full,1.0,False,1.0,False,0.9134515360957742,False
1,4,20,30.193548387096776,0.6623931623931624,0.5183946488294314,0.0649278943462515,full,1.0,False,1.0,False,0.7528447821894237,False
1,5,32,30.193548387096776,1.0598290598290598,0.9828320954584195,0.7124512001298489,full,1.0,False,1.0,False,0.9659562715264634,False
1,6,24,30.193548387096776,0.7948717948717949,0.7968992248062016,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
1,7,24,30.193548387096776,0.7948717948717949,0.7,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
1,8,18,30.193548387096776,0.596153846153846,0.5343618513323983,0.021209118020324956,full,1.0,False,1.0,False,0.7528447821894237,False
1,9,23,30.193548387096776,0.7617521367521367,0.6927463910176439,0.2302639891439897,full,1.0,False,1.0,False,0.9134515360957742,False
1,10,34,30.193548387096776,1.1260683760683758,1.0121212121212122,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
1,11,39,30.193548387096776,1.2916666666666665,1.0131357629154987,0.11655045230135694,full,1.0,False,1.0,False,0.7969994164725144,False
1,12,27,30.193548387096776,0.8942307692307692,0.8758331746334032,0.6450481380209045,full,1.0,False,1.0,False,0.961369821088848,False
1,13,21,30.193548387096776,0.6955128205128205,0.5878220140515222,0.09714126221799016,full,1.0,False,1.0,False,0.7528447821894237,False
1,14,31,30.193548387096776,1.0267094017094016,0.8163134232498395,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
1,15,27,30.193548387096776,0.8942307692307692,0.9242273180458624,0.6450481380209045,full,1.0,False,1.0,False,0.961369821088848,False
1,16,25,30.193548387096776,0.8279914529914529,0.6660936828534594,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
1,17,26,30.193548387096776,0.861111111111111,0.7528089887640449,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
1,18,25,30.193548387096776,0.8279914529914529,0.7067885559505671,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
1,19,22,30.193548387096776,0.7286324786324786,0.5295914847484354,0.1409449631431578,full,1.0,False,1.0,False,0.840248818738056,False
1,20,27,30.193548387096776,0.8942307692307692,0.727509778357236,0.6450481380209045,full,1.0,False,1.0,False,0.961369821088848,False
1,21,32,30.193548387096776,1.0598290598290598,0.8770764119601329,0.7124512001298489,full,1.0,False,1.0,False,0.9659562715264634,False
1,22,21,30.193548387096776,0.6955128205128205,0.5140354816977318,0.09714126221799016,full,1.0,False,1.0,False,0.7528447821894237,False
1,23,31,30.193548387096776,1.0267094017094016,0.874872492349541,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
1,24,19,30.193548387096776,0.6292735042735043,0.4984838497033619,0.04209445570616836,full,1.0,False,1.0,False,0.7528447821894237,False
1,25,31,30.193548387096776,1.0267094017094016,0.9525403103133556,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
