feature,coef,p_raw,p_fdr,sig_fdr
abs_sum_dev,-1.650282972441436e-06,0.42515272133680426,0.5314409016710053,False
consecutive_pairs,-2.704497436517319e-05,0.3927915895554235,0.5314409016710053,False
low_count,-2.0061686510135093e-05,0.5705319330075956,0.5705319330075956,False
birthday_count,3.1589605521953005e-05,0.3895567051689338,0.5314409016710053,False
decade_spread,8.444081238798685e-05,0.02030702404729892,0.10153512023649461,False
