mean_max_match,rate_3plus,rate_4plus,n_5_hits,total_profit,max_drawdown
2.0377492877492878,0.19444444444444445,0.007834757834757835,0.0,-2288600.0,-2286600.0
2.017094017094017,0.1858974358974359,0.005698005698005698,0.0,-2475700.0,-2474400.0
2.022792022792023,0.18091168091168092,0.010683760683760684,0.0,-2420400.0,-2418400.0
2.0220797720797723,0.18518518518518517,0.005698005698005698,0.0,-2480500.0,-2478500.0
2.0242165242165244,0.18376068376068377,0.007122507122507123,0.0,-2461100.0,-2459100.0
2.061253561253561,0.19658119658119658,0.00641025641025641,0.0,-2466000.0,-2464000.0
2.0576923076923075,0.21794871794871795,0.009971509971509971,0.0,-2291700.0,-2289700.0
2.017094017094017,0.18091168091168092,0.005698005698005698,0.0,-2479200.0,-2477200.0
2.0242165242165244,0.18803418803418803,0.007122507122507123,0.0,-2235800.0,-2233800.0
2.0534188034188032,0.21153846153846154,0.009971509971509971,0.0,-2224800.0,-2223700.0
2.0185185185185186,0.18233618233618235,0.012108262108262107,0.0,-2410400.0,-2408400.0
2.0598290598290596,0.21794871794871795,0.010683760683760684,0.0,-2369100.0,-2367100.0
2.0455840455840457,0.20014245014245013,0.011396011396011397,0.0,-2383500.0,-2381500.0
2.0384615384615383,0.1987179487179487,0.007834757834757835,0.0,-2221700.0,-2219700.0
2.0555555555555554,0.2037037037037037,0.011396011396011397,0.0,-2157700.0,-2155700.0
2.0292022792022792,0.18874643874643873,0.010683760683760684,0.0,-2217700.0,-2215700.0
2.002136752136752,0.1745014245014245,0.007834757834757835,0.0,-2356700.0,-2432800.0
2.064814814814815,0.22293447293447294,0.007122507122507123,0.0,-2215100.0,-2213100.0
2.054843304843305,0.20797720797720798,0.010683760683760684,0.0,-2376500.0,-2374500.0
2.069088319088319,0.202991452991453,0.010683760683760684,0.0,-2388800.0,-2396200.0
2.0391737891737893,0.20441595441595442,0.007122507122507123,0.0,-2301600.0,-2299600.0
2.054843304843305,0.2022792022792023,0.008547008547008548,2.0,23230800.0,-1045300.0
2.0156695156695155,0.18803418803418803,0.00641025641025641,0.0,-2467100.0,-2465100.0
2.0356125356125356,0.20014245014245013,0.005698005698005698,0.0,-2466300.0,-2464300.0
1.9943019943019944,0.17307692307692307,0.007122507122507123,1.0,10169500.0,-1745000.0
2.036324786324786,0.1987179487179487,0.005698005698005698,0.0,-2469500.0,-2467500.0
2.0527065527065527,0.2094017094017094,0.007834757834757835,0.0,-2411500.0,-2412800.0
2.02991452991453,0.20014245014245013,0.009971509971509971,0.0,-2385600.0,-2383600.0
2.0683760683760686,0.2094017094017094,0.009259259259259259,0.0,-2205900.0,-2203900.0
2.032763532763533,0.19515669515669515,0.008547008547008548,0.0,-2420400.0,-2418400.0
2.0256410256410255,0.19373219373219372,0.004273504273504274,0.0,-2485000.0,-2483200.0
2.0448717948717947,0.20797720797720798,0.007122507122507123,0.0,-2259500.0,-2257500.0
2.0534188034188032,0.20441595441595442,0.004985754985754986,0.0,-2467400.0,-2466300.0
2.0462962962962963,0.202991452991453,0.004985754985754986,0.0,-2271400.0,-2269400.0
2.0641025641025643,0.21794871794871795,0.012108262108262107,0.0,-2360100.0,-2359000.0
2.0541310541310542,0.2094017094017094,0.005698005698005698,0.0,-2440000.0,-2444200.0
2.0220797720797723,0.18874643874643873,0.007122507122507123,0.0,-2331900.0,-2329900.0
2.030626780626781,0.1987179487179487,0.004985754985754986,1.0,5036500.0,-1396400.0
2.047008547008547,0.2150997150997151,0.009971509971509971,0.0,-2294200.0,-2292200.0
2.0106837606837606,0.18233618233618235,0.007122507122507123,0.0,-2228200.0,-2226200.0
2.0391737891737893,0.19943019943019943,0.011396011396011397,0.0,-2381100.0,-2380000.0
2.061253561253561,0.21652421652421652,0.008547008547008548,0.0,-2303600.0,-2301600.0
2.0106837606837606,0.17806267806267806,0.007834757834757835,0.0,-2468600.0,-2466600.0
2.022792022792023,0.18518518518518517,0.007834757834757835,0.0,-2456500.0,-2454500.0
2.056980056980057,0.2022792022792023,0.009971509971509971,0.0,-2260900.0,-2259800.0
2.0213675213675213,0.18447293447293447,0.010683760683760684,0.0,-2280000.0,-2278900.0
2.0085470085470085,0.18732193732193733,0.00641025641025641,0.0,-2455300.0,-2462200.0
2.0156695156695155,0.18518518518518517,0.005698005698005698,0.0,-2484400.0,-2482400.0
2.02991452991453,0.19943019943019943,0.007122507122507123,0.0,-2433900.0,-2431900.0
2.036324786324786,0.2101139601139601,0.004985754985754986,0.0,-2453100.0,-2451100.0
2.0427350427350426,0.202991452991453,0.014957264957264958,1.0,10274500.0,-1419600.0
2.047720797720798,0.20441595441595442,0.00641025641025641,0.0,-2440400.0,-2438400.0
2.0448717948717947,0.202991452991453,0.007122507122507123,0.0,-2290000.0,-2288900.0
2.0455840455840457,0.1908831908831909,0.008547008547008548,0.0,-2424500.0,-2422500.0
1.9964387464387465,0.16168091168091167,0.004985754985754986,0.0,-2333600.0,-2331600.0
2.0505698005698005,0.20441595441595442,0.007834757834757835,0.0,-2447000.0,-2445000.0
2.032051282051282,0.19301994301994302,0.005698005698005698,0.0,-2474800.0,-2472800.0
2.047720797720798,0.20868945868945868,0.004273504273504274,0.0,-2461200.0,-2459200.0
2.047008547008547,0.20868945868945868,0.007834757834757835,0.0,-2337000.0,-2335000.0
2.03988603988604,0.198005698005698,0.009259259259259259,0.0,-2294600.0,-2366500.0
2.032051282051282,0.20156695156695156,0.008547008547008548,0.0,-2448800.0,-2446800.0
2.022792022792023,0.19943019943019943,0.007834757834757835,0.0,-2413400.0,-2411400.0
2.0356125356125356,0.20584045584045585,0.009971509971509971,0.0,-2227700.0,-2225700.0
2.044159544159544,0.18803418803418803,0.007122507122507123,0.0,-2462000.0,-2460000.0
2.032051282051282,0.1972934472934473,0.007834757834757835,0.0,-856900.0,-1488900.0
2.054843304843305,0.202991452991453,0.009971509971509971,1.0,14199300.0,-1943100.0
2.074074074074074,0.2272079772079772,0.007122507122507123,0.0,-2257700.0,-2255700.0
2.0185185185185186,0.17094017094017094,0.007122507122507123,0.0,-2343400.0,-2454000.0
2.0206552706552707,0.17307692307692307,0.007834757834757835,0.0,-2080900.0,-2476000.0
2.047720797720798,0.19943019943019943,0.005698005698005698,0.0,-2453800.0,-2452700.0
2.0334757834757835,0.20584045584045585,0.008547008547008548,0.0,-2256900.0,-2254900.0
2.005698005698006,0.17165242165242164,0.0035612535612535613,0.0,-2425400.0,-2423400.0
2.0562678062678064,0.22293447293447294,0.007834757834757835,1.0,15027600.0,-1650700.0
2.036324786324786,0.1987179487179487,0.005698005698005698,0.0,-2450400.0,-2448400.0
2.0313390313390314,0.20868945868945868,0.004273504273504274,0.0,-2459600.0,-2457600.0
2.032763532763533,0.20441595441595442,0.00641025641025641,0.0,-2443300.0,-2441300.0
2.044159544159544,0.2094017094017094,0.004273504273504274,0.0,-2245400.0,-2243400.0
2.034900284900285,0.19230769230769232,0.009259259259259259,0.0,-2297800.0,-2295800.0
2.0505698005698005,0.21225071225071226,0.012108262108262107,0.0,-2132300.0,-2130300.0
2.0448717948717947,0.202991452991453,0.004985754985754986,0.0,-2467600.0,-2465600.0
2.0462962962962963,0.20156695156695156,0.005698005698005698,0.0,-2452600.0,-2450600.0
2.0135327635327633,0.19230769230769232,0.007122507122507123,0.0,-2448800.0,-2446800.0
2.0384615384615383,0.1987179487179487,0.009259259259259259,0.0,-2018200.0,-2084500.0
2.034188034188034,0.19017094017094016,0.00641025641025641,0.0,-2465300.0,-2464200.0
2.02991452991453,0.18945868945868946,0.009259259259259259,0.0,-2433300.0,-2432200.0
2.084045584045584,0.2329059829059829,0.009259259259259259,0.0,-2368700.0,-2366700.0
2.0541310541310542,0.198005698005698,0.01566951566951567,1.0,4686500.0,-1326400.0
2.0405982905982905,0.20156695156695156,0.004985754985754986,0.0,-2262000.0,-2408000.0
2.0206552706552707,0.19017094017094016,0.005698005698005698,0.0,-2478300.0,-2477200.0
2.0163817663817665,0.1915954415954416,0.005698005698005698,0.0,-2285200.0,-2283200.0
2.0584045584045585,0.20797720797720798,0.009971509971509971,0.0,-1989400.0,-2232100.0
2.0391737891737893,0.1972934472934473,0.00641025641025641,0.0,-2440600.0,-2438600.0
2.04985754985755,0.20085470085470086,0.008547008547008548,0.0,-2432200.0,-2430200.0
2.0455840455840457,0.18732193732193733,0.00641025641025641,0.0,-2460100.0,-2458100.0
2.0405982905982905,0.19586894586894588,0.00641025641025641,0.0,-2454000.0,-2461400.0
2.0462962962962963,0.1972934472934473,0.011396011396011397,0.0,-2129100.0,-2127100.0
2.0384615384615383,0.19444444444444445,0.004985754985754986,0.0,-2463300.0,-2461300.0
2.027065527065527,0.198005698005698,0.00641025641025641,0.0,-2449000.0,-2447000.0
2.014957264957265,0.18803418803418803,0.01282051282051282,0.0,-2366000.0,-2365800.0
2.011396011396011,0.1752136752136752,0.004985754985754986,0.0,-2498000.0,-2496000.0
2.027065527065527,0.1972934472934473,0.009259259259259259,0.0,-2168600.0,-2166600.0
2.024928774928775,0.1987179487179487,0.005698005698005698,0.0,-2460700.0,-2458700.0
2.0313390313390314,0.18162393162393162,0.008547008547008548,0.0,-2447500.0,-2449800.0
2.0313390313390314,0.19515669515669515,0.007122507122507123,0.0,-2448100.0,-2446100.0
2.059116809116809,0.20726495726495728,0.00641025641025641,1.0,5593700.0,-1632700.0
2.0391737891737893,0.20441595441595442,0.009259259259259259,0.0,-2415400.0,-2413400.0
2.012108262108262,0.17806267806267806,0.004985754985754986,0.0,-2490700.0,-2489600.0
2.032763532763533,0.18803418803418803,0.00641025641025641,1.0,6879100.0,-1762200.0
2.042022792022792,0.19373219373219372,0.005698005698005698,0.0,-2461900.0,-2459900.0
2.0534188034188032,0.1858974358974359,0.007834757834757835,0.0,-2452800.0,-2450800.0
2.0263532763532766,0.1972934472934473,0.007834757834757835,0.0,-2436100.0,-2434100.0
2.0641025641025643,0.2329059829059829,0.010683760683760684,0.0,-2356900.0,-2354900.0
2.047008547008547,0.2150997150997151,0.008547008547008548,0.0,-2390900.0,-2388900.0
2.0562678062678064,0.2094017094017094,0.008547008547008548,0.0,-2290900.0,-2294500.0
2.034188034188034,0.19444444444444445,0.007834757834757835,0.0,-2435300.0,-2433300.0
2.056980056980057,0.21225071225071226,0.008547008547008548,0.0,-2416000.0,-2414000.0
2.007122507122507,0.16951566951566951,0.005698005698005698,0.0,-2176200.0,-2295500.0
2.0235042735042734,0.19301994301994302,0.009971509971509971,0.0,-2345200.0,-2344100.0
2.0277777777777777,0.2037037037037037,0.007834757834757835,0.0,-1913500.0,-1988900.0
2.0377492877492878,0.20512820512820512,0.009259259259259259,0.0,-2243300.0,-2247400.0
2.0142450142450143,0.17663817663817663,0.007122507122507123,0.0,-2387300.0,-2385300.0
2.0106837606837606,0.18091168091168092,0.00641025641025641,0.0,-2475100.0,-2473100.0
2.0434472934472936,0.21581196581196582,0.009971509971509971,1.0,6384900.0,-1402200.0
2.0448717948717947,0.18304843304843305,0.00641025641025641,1.0,9097900.0,-2338200.0
2.0292022792022792,0.18376068376068377,0.005698005698005698,0.0,-2389800.0,-2387800.0
2.056980056980057,0.2257834757834758,0.00641025641025641,0.0,-1942800.0,-2019500.0
2.042022792022792,0.1987179487179487,0.008547008547008548,0.0,-2426600.0,-2424600.0
2.0455840455840457,0.20584045584045585,0.00641025641025641,0.0,-2443600.0,-2441600.0
2.0391737891737893,0.20014245014245013,0.00641025641025641,0.0,-2434700.0,-2432700.0
2.0384615384615383,0.19943019943019943,0.005698005698005698,0.0,-2392000.0,-2390900.0
2.047008547008547,0.20797720797720798,0.009971509971509971,0.0,-2299600.0,-2297600.0
2.0042735042735043,0.18803418803418803,0.002136752136752137,0.0,-2518500.0,-2516500.0
2.022792022792023,0.18803418803418803,0.002136752136752137,1.0,12350400.0,-1369900.0
2.011396011396011,0.1908831908831909,0.007834757834757835,0.0,-2438500.0,-2436500.0
2.0562678062678064,0.20655270655270655,0.010683760683760684,0.0,-2378300.0,-2376300.0
2.0242165242165244,0.19515669515669515,0.007122507122507123,0.0,-2316400.0,-2314400.0
2.056980056980057,0.20584045584045585,0.007834757834757835,0.0,-2437900.0,-2437300.0
2.0206552706552707,0.18233618233618235,0.005698005698005698,0.0,-2474200.0,-2472200.0
2.0313390313390314,0.20156695156695156,0.007122507122507123,0.0,-2431900.0,-2429900.0
2.0199430199430197,0.19230769230769232,0.0035612535612535613,0.0,-2501000.0,-2499000.0
1.9871794871794872,0.1794871794871795,0.005698005698005698,1.0,7116900.0,-1454600.0
2.0448717948717947,0.20512820512820512,0.00641025641025641,0.0,-2445500.0,-2444400.0
2.0555555555555554,0.1915954415954416,0.008547008547008548,0.0,-2264100.0,-2262100.0
2.0598290598290596,0.2215099715099715,0.009971509971509971,0.0,-2247800.0,-2245800.0
2.032763532763533,0.20726495726495728,0.00641025641025641,0.0,-2288300.0,-2368400.0
2.0662393162393164,0.20441595441595442,0.008547008547008548,0.0,-2415200.0,-2413200.0
2.0377492877492878,0.21652421652421652,0.005698005698005698,0.0,-2435700.0,-2434600.0
2.0206552706552707,0.1915954415954416,0.00641025641025641,0.0,-2452600.0,-2450600.0
2.051994301994302,0.2037037037037037,0.007122507122507123,0.0,-2443500.0,-2441500.0
2.049145299145299,0.21296296296296297,0.004985754985754986,0.0,-2373500.0,-2372400.0
2.032051282051282,0.19444444444444445,0.007834757834757835,0.0,-2442900.0,-2440900.0
2.0377492877492878,0.19515669515669515,0.007834757834757835,0.0,-2288300.0,-2286300.0
2.04985754985755,0.20655270655270655,0.012108262108262107,0.0,-2171300.0,-2169300.0
2.0384615384615383,0.19515669515669515,0.005698005698005698,0.0,-2314900.0,-2357300.0
2.036324786324786,0.20441595441595442,0.008547008547008548,0.0,-2296800.0,-2294800.0
2.0626780626780628,0.20868945868945868,0.008547008547008548,1.0,7205500.0,-1703200.0
2.051994301994302,0.1972934472934473,0.010683760683760684,0.0,-2074900.0,-2136000.0
2.0206552706552707,0.1908831908831909,0.007834757834757835,0.0,-2236500.0,-2234500.0
2.032051282051282,0.1972934472934473,0.014957264957264958,0.0,-2234300.0,-2232300.0
2.0235042735042734,0.18803418803418803,0.008547008547008548,0.0,-2382200.0,-2380200.0
2.0263532763532766,0.2037037037037037,0.005698005698005698,0.0,-2450100.0,-2448100.0
2.0384615384615383,0.19230769230769232,0.0035612535612535613,0.0,-2400600.0,-2499400.0
2.0313390313390314,0.20014245014245013,0.00641025641025641,0.0,-2446200.0,-2444200.0
2.0562678062678064,0.21652421652421652,0.012108262108262107,1.0,9389700.0,-1430600.0
2.034188034188034,0.19017094017094016,0.00641025641025641,0.0,-2446500.0,-2458300.0
2.054843304843305,0.20797720797720798,0.009259259259259259,0.0,-2234200.0,-2247000.0
2.0462962962962963,0.20085470085470086,0.005698005698005698,0.0,-2456100.0,-2454100.0
2.0626780626780628,0.2222222222222222,0.007834757834757835,0.0,-2264900.0,-2262900.0
2.047720797720798,0.198005698005698,0.005698005698005698,0.0,-2377200.0,-2375200.0
