feature,observed_mean,theoretical_mean,observed_std,theoretical_std
sum,80.91381766381767,80.0,18.737268368140818,18.618986725025255
odd_count,2.6004273504273505,2.5806451612903225,1.0500109436994582,1.0402913223611032
low_count,2.3632478632478633,2.4193548387096775,1.0614557137141765,1.0402913223611032
