strategy,n_draws,mean_max_match,rate_3plus_per_draw,rate_4plus_per_draw,n_5_hits_total,total_cost,total_payout,net_profit,roi_pct,max_drawdown
A_pure_random_top10,1404,2.069088319088319,0.2094017094017094,0.007122507122507123,0,2808000,374600,-2433400,-86.65954415954415,-2431400
B_diversified_top10,1404,2.07977207977208,0.20868945868945868,0.007122507122507123,0,2808000,374400,-2433600,-86.66666666666667,-2431600
C_coverage_optimized,1404,2.1303418803418803,0.1972934472934473,0.00641025641025641,0,2808000,362400,-2445600,-87.09401709401709,-2443600
D_prize_roi_optimized,1404,1.985042735042735,0.19943019943019943,0.009259259259259259,0,2808000,692200,-2115800,-75.34900284900284,-2113800
